,Prognosis,Prog_obj
207,19,Hepatitis B
208,19,Hepatitis B
209,19,Hepatitis B
210,20,Hepatitis C
211,20,Hepatitis C
212,20,Hepatitis C
213,20,Hepatitis C
214,20,Hepatitis C
215,20,Hepatitis C
216,20,Hepatitis C
217,20,Hepatitis C
218,20,Hepatitis C
219,20,Hepatitis C
220,21,Hepatitis D
221,21,Hepatitis D
222,21,Hepatitis D
223,21,Hepatitis D
224,21,Hepatitis D
225,21,Hepatitis D
226,21,Hepatitis D
227,21,Hepatitis D
228,21,Hepatitis D
229,21,Hepatitis D
230,22,Hepatitis E
231,22,Hepatitis E
232,22,Hepatitis E
233,22,Hepatitis E
234,22,Hepatitis E
235,22,Hepatitis E
236,22,Hepatitis E
237,22,Hepatitis E
238,22,Hepatitis E
239,22,Hepatitis E
240,3,Alcoholic hepatitis
241,3,Alcoholic hepatitis
242,3,Alcoholic hepatitis
243,3,Alcoholic hepatitis
244,3,Alcoholic hepatitis
245,3,Alcoholic hepatitis
246,3,Alcoholic hepatitis
247,3,Alcoholic hepatitis
248,3,Alcoholic hepatitis
249,3,Alcoholic hepatitis
250,36,Tuberculosis
251,36,Tuberculosis
252,36,Tuberculosis
253,36,Tuberculosis
254,36,Tuberculosis
255,36,Tuberculosis
256,36,Tuberculosis
257,36,Tuberculosis
258,36,Tuberculosis
259,36,Tuberculosis
260,10,Common Cold
261,10,Common Cold
262,10,Common Cold
263,10,Common Cold
264,10,Common Cold
265,10,Common Cold
266,10,Common Cold
267,10,Common Cold
268,10,Common Cold
269,10,Common Cold
270,34,Pneumonia
271,34,Pneumonia
272,34,Pneumonia
273,34,Pneumonia
274,34,Pneumonia
275,34,Pneumonia
276,34,Pneumonia
277,34,Pneumonia
278,34,Pneumonia
279,34,Pneumonia
280,13,Dimorphic hemmorhoids(piles)
281,13,Dimorphic hemmorhoids(piles)
282,13,Dimorphic hemmorhoids(piles)
283,13,Dimorphic hemmorhoids(piles)
284,13,Dimorphic hemmorhoids(piles)
285,13,Dimorphic hemmorhoids(piles)
286,13,Dimorphic hemmorhoids(piles)
287,13,Dimorphic hemmorhoids(piles)
288,13,Dimorphic hemmorhoids(piles)
289,13,Dimorphic hemmorhoids(piles)
290,18,Heart attack
291,18,Heart attack
292,18,Heart attack
293,18,Heart attack
294,18,Heart attack
295,18,Heart attack
296,18,Heart attack
297,18,Heart attack
298,18,Heart attack
299,18,Heart attack
300,39,Varicose veins
301,39,Varicose veins
302,39,Varicose veins
303,39,Varicose veins
304,39,Varicose veins
305,39,Varicose veins
306,39,Varicose veins
307,39,Varicose veins
308,39,Varicose veins
309,39,Varicose veins
310,26,Hypothyroidism
311,26,Hypothyroidism
312,26,Hypothyroidism
313,26,Hypothyroidism
314,26,Hypothyroidism
315,26,Hypothyroidism
316,26,Hypothyroidism
317,26,Hypothyroidism
318,26,Hypothyroidism
319,26,Hypothyroidism
320,24,Hyperthyroidism
321,24,Hyperthyroidism
322,24,Hyperthyroidism
323,24,Hyperthyroidism
324,24,Hyperthyroidism
325,24,Hyperthyroidism
326,24,Hyperthyroidism
327,24,Hyperthyroidism
328,24,Hyperthyroidism
329,24,Hyperthyroidism
330,25,Hypoglycemia
331,25,Hypoglycemia
332,25,Hypoglycemia
333,25,Hypoglycemia
334,25,Hypoglycemia
335,25,Hypoglycemia
336,25,Hypoglycemia
337,25,Hypoglycemia
338,25,Hypoglycemia
339,25,Hypoglycemia
340,31,Osteoarthristis
341,31,Osteoarthristis
342,31,Osteoarthristis
343,31,Osteoarthristis
344,31,Osteoarthristis
345,31,Osteoarthristis
346,31,Osteoarthristis
347,31,Osteoarthristis
348,31,Osteoarthristis
349,31,Osteoarthristis
350,5,Arthritis
351,5,Arthritis
352,5,Arthritis
353,5,Arthritis
354,5,Arthritis
355,5,Arthritis
356,5,Arthritis
357,5,Arthritis
358,5,Arthritis
359,5,Arthritis
360,0,(vertigo) Paroymsal  Positional Vertigo
361,0,(vertigo) Paroymsal  Positional Vertigo
362,0,(vertigo) Paroymsal  Positional Vertigo
363,0,(vertigo) Paroymsal  Positional Vertigo
364,0,(vertigo) Paroymsal  Positional Vertigo
365,0,(vertigo) Paroymsal  Positional Vertigo
366,0,(vertigo) Paroymsal  Positional Vertigo
367,0,(vertigo) Paroymsal  Positional Vertigo
368,0,(vertigo) Paroymsal  Positional Vertigo
369,0,(vertigo) Paroymsal  Positional Vertigo
370,2,Acne
371,2,Acne
372,2,Acne
373,2,Acne
374,2,Acne
375,2,Acne
376,2,Acne
377,2,Acne
378,2,Acne
379,2,Acne
380,38,Urinary tract infection
381,38,Urinary tract infection
382,38,Urinary tract infection
383,38,Urinary tract infection
384,38,Urinary tract infection
385,38,Urinary tract infection
386,38,Urinary tract infection
387,38,Urinary tract infection
388,38,Urinary tract infection
389,38,Urinary tract infection
390,35,Psoriasis
391,35,Psoriasis
392,35,Psoriasis
393,35,Psoriasis
394,35,Psoriasis
395,35,Psoriasis
396,35,Psoriasis
397,35,Psoriasis
398,35,Psoriasis
399,35,Psoriasis
400,27,Impetigo
401,27,Impetigo
402,27,Impetigo
403,27,Impetigo
404,27,Impetigo
405,27,Impetigo
406,27,Impetigo
407,27,Impetigo
408,27,Impetigo
409,27,Impetigo
410,15,Fungal infection
411,15,Fungal infection
412,15,Fungal infection
413,15,Fungal infection
414,15,Fungal infection
415,15,Fungal infection
416,15,Fungal infection
417,15,Fungal infection
418,15,Fungal infection
419,15,Fungal infection
420,4,Allergy
421,4,Allergy
422,4,Allergy
423,4,Allergy
424,4,Allergy
425,4,Allergy
426,4,Allergy
427,4,Allergy
428,4,Allergy
429,4,Allergy
430,16,GERD
431,16,GERD
432,16,GERD
433,16,GERD
434,16,GERD
435,16,GERD
436,16,GERD
437,16,GERD
438,16,GERD
439,16,GERD
440,9,Chronic cholestasis
441,9,Chronic cholestasis
442,9,Chronic cholestasis
443,9,Chronic cholestasis
444,9,Chronic cholestasis
445,9,Chronic cholestasis
446,9,Chronic cholestasis
447,9,Chronic cholestasis
448,9,Chronic cholestasis
449,9,Chronic cholestasis
450,14,Drug Reaction
451,14,Drug Reaction
452,14,Drug Reaction
453,14,Drug Reaction
454,14,Drug Reaction
455,14,Drug Reaction
456,14,Drug Reaction
457,14,Drug Reaction
458,14,Drug Reaction
459,14,Drug Reaction
460,33,Peptic ulcer diseae
461,33,Peptic ulcer diseae
462,33,Peptic ulcer diseae
463,33,Peptic ulcer diseae
464,33,Peptic ulcer diseae
465,33,Peptic ulcer diseae
466,33,Peptic ulcer diseae
467,33,Peptic ulcer diseae
468,33,Peptic ulcer diseae
469,33,Peptic ulcer diseae
470,1,AIDS
471,1,AIDS
472,1,AIDS
473,1,AIDS
474,1,AIDS
475,1,AIDS
476,1,AIDS
477,1,AIDS
478,1,AIDS
479,1,AIDS
480,12,Diabetes 
481,12,Diabetes 
482,12,Diabetes 
483,12,Diabetes 
484,12,Diabetes 
485,12,Diabetes 
486,12,Diabetes 
487,12,Diabetes 
488,12,Diabetes 
489,12,Diabetes 
490,17,Gastroenteritis
491,17,Gastroenteritis
492,17,Gastroenteritis
493,17,Gastroenteritis
494,17,Gastroenteritis
495,17,Gastroenteritis
496,17,Gastroenteritis
497,17,Gastroenteritis
498,17,Gastroenteritis
499,17,Gastroenteritis
500,6,Bronchial Asthma
501,6,Bronchial Asthma
502,6,Bronchial Asthma
503,6,Bronchial Asthma
504,6,Bronchial Asthma
505,6,Bronchial Asthma
506,6,Bronchial Asthma
507,6,Bronchial Asthma
508,6,Bronchial Asthma
509,6,Bronchial Asthma
510,23,Hypertension 
511,23,Hypertension 
512,23,Hypertension 
513,23,Hypertension 
514,23,Hypertension 
515,23,Hypertension 
516,23,Hypertension 
517,23,Hypertension 
518,23,Hypertension 
519,23,Hypertension 
520,30,Migraine
521,30,Migraine
522,30,Migraine
523,30,Migraine
524,30,Migraine
525,30,Migraine
526,30,Migraine
527,30,Migraine
528,30,Migraine
529,30,Migraine
530,7,Cervical spondylosis
531,7,Cervical spondylosis
532,7,Cervical spondylosis
533,7,Cervical spondylosis
534,7,Cervical spondylosis
535,7,Cervical spondylosis
536,7,Cervical spondylosis
537,7,Cervical spondylosis
538,7,Cervical spondylosis
539,7,Cervical spondylosis
540,32,Paralysis (brain hemorrhage)
541,32,Paralysis (brain hemorrhage)
542,32,Paralysis (brain hemorrhage)
543,32,Paralysis (brain hemorrhage)
544,32,Paralysis (brain hemorrhage)
545,32,Paralysis (brain hemorrhage)
546,32,Paralysis (brain hemorrhage)
547,32,Paralysis (brain hemorrhage)
548,32,Paralysis (brain hemorrhage)
549,32,Paralysis (brain hemorrhage)
550,28,Jaundice
551,28,Jaundice
552,28,Jaundice
553,28,Jaundice
554,28,Jaundice
555,28,Jaundice
556,28,Jaundice
557,28,Jaundice
558,28,Jaundice
559,28,Jaundice
560,29,Malaria
561,29,Malaria
562,29,Malaria
563,29,Malaria
564,29,Malaria
565,29,Malaria
566,29,Malaria
567,29,Malaria
568,29,Malaria
569,29,Malaria
570,8,Chicken pox
571,8,Chicken pox
572,8,Chicken pox
573,8,Chicken pox
574,8,Chicken pox
575,8,Chicken pox
576,8,Chicken pox
577,8,Chicken pox
578,8,Chicken pox
579,8,Chicken pox
580,11,Dengue
581,11,Dengue
582,11,Dengue
583,11,Dengue
584,11,Dengue
585,11,Dengue
586,11,Dengue
587,11,Dengue
588,11,Dengue
589,11,Dengue
590,37,Typhoid
591,37,Typhoid
592,37,Typhoid
593,37,Typhoid
594,37,Typhoid
595,37,Typhoid
596,37,Typhoid
597,37,Typhoid
598,37,Typhoid
599,37,Typhoid
600,40,hepatitis A
601,40,hepatitis A
602,40,hepatitis A
603,40,hepatitis A
604,40,hepatitis A
605,40,hepatitis A
606,40,hepatitis A
607,40,hepatitis A
608,40,hepatitis A
609,40,hepatitis A
610,19,Hepatitis B
611,19,Hepatitis B
612,19,Hepatitis B
613,19,Hepatitis B
614,19,Hepatitis B
615,19,Hepatitis B
616,19,Hepatitis B
617,19,Hepatitis B
618,19,Hepatitis B
619,19,Hepatitis B
620,20,Hepatitis C
621,20,Hepatitis C
622,20,Hepatitis C
623,20,Hepatitis C
624,20,Hepatitis C
625,20,Hepatitis C
626,20,Hepatitis C
627,20,Hepatitis C
628,20,Hepatitis C
629,20,Hepatitis C
630,21,Hepatitis D
631,21,Hepatitis D
632,21,Hepatitis D
633,21,Hepatitis D
634,21,Hepatitis D
635,21,Hepatitis D
636,21,Hepatitis D
637,21,Hepatitis D
638,21,Hepatitis D
639,21,Hepatitis D
640,22,Hepatitis E
641,22,Hepatitis E
642,22,Hepatitis E
643,22,Hepatitis E
644,22,Hepatitis E
645,22,Hepatitis E
646,22,Hepatitis E
647,22,Hepatitis E
648,22,Hepatitis E
649,22,Hepatitis E
650,3,Alcoholic hepatitis
651,3,Alcoholic hepatitis
652,3,Alcoholic hepatitis
653,3,Alcoholic hepatitis
654,3,Alcoholic hepatitis
655,3,Alcoholic hepatitis
656,3,Alcoholic hepatitis
657,3,Alcoholic hepatitis
658,3,Alcoholic hepatitis
659,3,Alcoholic hepatitis
660,36,Tuberculosis
661,36,Tuberculosis
662,36,Tuberculosis
663,36,Tuberculosis
664,36,Tuberculosis
665,36,Tuberculosis
666,36,Tuberculosis
667,36,Tuberculosis
668,36,Tuberculosis
669,36,Tuberculosis
670,10,Common Cold
671,10,Common Cold
672,10,Common Cold
673,10,Common Cold
674,10,Common Cold
675,10,Common Cold
676,10,Common Cold
677,10,Common Cold
678,10,Common Cold
679,10,Common Cold
680,34,Pneumonia
681,34,Pneumonia
682,34,Pneumonia
683,34,Pneumonia
684,34,Pneumonia
685,34,Pneumonia
686,34,Pneumonia
687,34,Pneumonia
688,34,Pneumonia
689,34,Pneumonia
690,13,Dimorphic hemmorhoids(piles)
691,13,Dimorphic hemmorhoids(piles)
692,13,Dimorphic hemmorhoids(piles)
693,13,Dimorphic hemmorhoids(piles)
694,13,Dimorphic hemmorhoids(piles)
695,13,Dimorphic hemmorhoids(piles)
696,13,Dimorphic hemmorhoids(piles)
697,13,Dimorphic hemmorhoids(piles)
698,13,Dimorphic hemmorhoids(piles)
699,13,Dimorphic hemmorhoids(piles)
700,18,Heart attack
701,18,Heart attack
702,18,Heart attack
703,18,Heart attack
704,18,Heart attack
705,18,Heart attack
706,18,Heart attack
707,18,Heart attack
708,18,Heart attack
709,18,Heart attack
710,39,Varicose veins
711,39,Varicose veins
712,39,Varicose veins
713,39,Varicose veins
714,39,Varicose veins
715,39,Varicose veins
716,39,Varicose veins
717,39,Varicose veins
718,39,Varicose veins
719,39,Varicose veins
720,26,Hypothyroidism
721,26,Hypothyroidism
722,26,Hypothyroidism
723,26,Hypothyroidism
724,26,Hypothyroidism
725,26,Hypothyroidism
726,26,Hypothyroidism
727,26,Hypothyroidism
728,26,Hypothyroidism
729,26,Hypothyroidism
730,24,Hyperthyroidism
731,24,Hyperthyroidism
732,24,Hyperthyroidism
733,24,Hyperthyroidism
734,24,Hyperthyroidism
735,24,Hyperthyroidism
736,24,Hyperthyroidism
737,24,Hyperthyroidism
738,24,Hyperthyroidism
739,24,Hyperthyroidism
740,25,Hypoglycemia
741,25,Hypoglycemia
742,25,Hypoglycemia
743,25,Hypoglycemia
744,25,Hypoglycemia
745,25,Hypoglycemia
746,25,Hypoglycemia
747,25,Hypoglycemia
748,25,Hypoglycemia
749,25,Hypoglycemia
750,31,Osteoarthristis
751,31,Osteoarthristis
752,31,Osteoarthristis
753,31,Osteoarthristis
754,31,Osteoarthristis
755,31,Osteoarthristis
756,31,Osteoarthristis
757,31,Osteoarthristis
758,31,Osteoarthristis
759,31,Osteoarthristis
760,5,Arthritis
761,5,Arthritis
762,5,Arthritis
763,5,Arthritis
764,5,Arthritis
765,5,Arthritis
766,5,Arthritis
767,5,Arthritis
768,5,Arthritis
769,5,Arthritis
770,0,(vertigo) Paroymsal  Positional Vertigo
771,0,(vertigo) Paroymsal  Positional Vertigo
772,0,(vertigo) Paroymsal  Positional Vertigo
773,0,(vertigo) Paroymsal  Positional Vertigo
774,0,(vertigo) Paroymsal  Positional Vertigo
775,0,(vertigo) Paroymsal  Positional Vertigo
776,0,(vertigo) Paroymsal  Positional Vertigo
777,0,(vertigo) Paroymsal  Positional Vertigo
778,0,(vertigo) Paroymsal  Positional Vertigo
779,0,(vertigo) Paroymsal  Positional Vertigo
780,2,Acne
781,2,Acne
782,2,Acne
783,2,Acne
784,2,Acne
785,2,Acne
786,2,Acne
787,2,Acne
788,2,Acne
789,2,Acne
790,38,Urinary tract infection
791,38,Urinary tract infection
792,38,Urinary tract infection
793,38,Urinary tract infection
794,38,Urinary tract infection
795,38,Urinary tract infection
796,38,Urinary tract infection
797,38,Urinary tract infection
798,38,Urinary tract infection
799,38,Urinary tract infection
800,35,Psoriasis
801,35,Psoriasis
802,35,Psoriasis
803,35,Psoriasis
804,35,Psoriasis
805,35,Psoriasis
806,35,Psoriasis
807,35,Psoriasis
808,35,Psoriasis
809,35,Psoriasis
810,27,Impetigo
811,27,Impetigo
812,27,Impetigo
813,27,Impetigo
814,27,Impetigo
815,27,Impetigo
816,27,Impetigo
817,27,Impetigo
818,27,Impetigo
819,27,Impetigo
820,15,Fungal infection
821,15,Fungal infection
822,15,Fungal infection
823,15,Fungal infection
824,15,Fungal infection
825,15,Fungal infection
826,15,Fungal infection
827,15,Fungal infection
828,15,Fungal infection
829,15,Fungal infection
830,4,Allergy
831,4,Allergy
832,4,Allergy
833,4,Allergy
834,4,Allergy
835,4,Allergy
836,4,Allergy
837,4,Allergy
838,4,Allergy
839,4,Allergy
840,16,GERD
841,16,GERD
842,16,GERD
843,16,GERD
844,16,GERD
845,16,GERD
846,16,GERD
847,16,GERD
848,16,GERD
849,16,GERD
850,9,Chronic cholestasis
851,9,Chronic cholestasis
852,9,Chronic cholestasis
853,9,Chronic cholestasis
854,9,Chronic cholestasis
855,9,Chronic cholestasis
856,9,Chronic cholestasis
857,9,Chronic cholestasis
858,9,Chronic cholestasis
859,9,Chronic cholestasis
860,14,Drug Reaction
861,14,Drug Reaction
862,14,Drug Reaction
863,14,Drug Reaction
864,14,Drug Reaction
865,14,Drug Reaction
866,14,Drug Reaction
867,14,Drug Reaction
868,14,Drug Reaction
869,14,Drug Reaction
870,33,Peptic ulcer diseae
871,33,Peptic ulcer diseae
872,33,Peptic ulcer diseae
873,33,Peptic ulcer diseae
874,33,Peptic ulcer diseae
875,33,Peptic ulcer diseae
876,33,Peptic ulcer diseae
877,33,Peptic ulcer diseae
878,33,Peptic ulcer diseae
879,33,Peptic ulcer diseae
880,1,AIDS
881,1,AIDS
882,1,AIDS
883,1,AIDS
884,1,AIDS
885,1,AIDS
886,1,AIDS
887,1,AIDS
888,1,AIDS
889,1,AIDS
890,12,Diabetes 
891,12,Diabetes 
892,12,Diabetes 
893,12,Diabetes 
894,12,Diabetes 
895,12,Diabetes 
896,12,Diabetes 
897,12,Diabetes 
898,12,Diabetes 
899,12,Diabetes 
900,17,Gastroenteritis
901,17,Gastroenteritis
902,17,Gastroenteritis
903,17,Gastroenteritis
904,17,Gastroenteritis
905,17,Gastroenteritis
906,17,Gastroenteritis
907,17,Gastroenteritis
908,17,Gastroenteritis
909,17,Gastroenteritis
910,6,Bronchial Asthma
911,6,Bronchial Asthma
912,6,Bronchial Asthma
913,6,Bronchial Asthma
914,6,Bronchial Asthma
915,6,Bronchial Asthma
916,6,Bronchial Asthma
917,6,Bronchial Asthma
918,6,Bronchial Asthma
919,6,Bronchial Asthma
920,23,Hypertension 
921,23,Hypertension 
922,23,Hypertension 
923,23,Hypertension 
924,23,Hypertension 
925,23,Hypertension 
926,23,Hypertension 
927,23,Hypertension 
928,23,Hypertension 
929,23,Hypertension 
930,30,Migraine
931,30,Migraine
932,30,Migraine
933,30,Migraine
934,30,Migraine
935,30,Migraine
936,30,Migraine
937,30,Migraine
938,30,Migraine
939,30,Migraine
940,7,Cervical spondylosis
941,7,Cervical spondylosis
942,7,Cervical spondylosis
943,7,Cervical spondylosis
944,7,Cervical spondylosis
945,7,Cervical spondylosis
946,7,Cervical spondylosis
947,7,Cervical spondylosis
948,7,Cervical spondylosis
949,7,Cervical spondylosis
950,32,Paralysis (brain hemorrhage)
951,32,Paralysis (brain hemorrhage)
952,32,Paralysis (brain hemorrhage)
953,32,Paralysis (brain hemorrhage)
954,32,Paralysis (brain hemorrhage)
955,32,Paralysis (brain hemorrhage)
956,32,Paralysis (brain hemorrhage)
957,32,Paralysis (brain hemorrhage)
958,32,Paralysis (brain hemorrhage)
959,32,Paralysis (brain hemorrhage)
960,28,Jaundice
961,28,Jaundice
962,28,Jaundice
963,28,Jaundice
964,28,Jaundice
965,28,Jaundice
966,28,Jaundice
967,28,Jaundice
968,28,Jaundice
969,28,Jaundice
970,29,Malaria
971,29,Malaria
972,29,Malaria
973,29,Malaria
974,29,Malaria
975,29,Malaria
976,29,Malaria
977,29,Malaria
978,29,Malaria
979,29,Malaria
980,8,Chicken pox
981,8,Chicken pox
982,8,Chicken pox
983,8,Chicken pox
984,8,Chicken pox
985,8,Chicken pox
986,8,Chicken pox
987,8,Chicken pox
988,8,Chicken pox
989,8,Chicken pox
990,11,Dengue
991,11,Dengue
992,11,Dengue
993,11,Dengue
994,11,Dengue
995,11,Dengue
996,11,Dengue
997,11,Dengue
998,11,Dengue
999,11,Dengue
1000,37,Typhoid
1001,37,Typhoid
1002,37,Typhoid
1003,37,Typhoid
1004,37,Typhoid
1005,37,Typhoid
1006,37,Typhoid
1007,37,Typhoid
1008,37,Typhoid
1009,37,Typhoid
1010,40,hepatitis A
1011,40,hepatitis A
1012,40,hepatitis A
1013,40,hepatitis A
1014,40,hepatitis A
1015,40,hepatitis A
1016,40,hepatitis A
1017,40,hepatitis A
1018,40,hepatitis A
1019,40,hepatitis A
1020,19,Hepatitis B
1021,19,Hepatitis B
1022,19,Hepatitis B
1023,19,Hepatitis B
1024,19,Hepatitis B
1025,19,Hepatitis B
1026,19,Hepatitis B
1027,19,Hepatitis B
1028,19,Hepatitis B
1029,19,Hepatitis B
1030,20,Hepatitis C
1031,20,Hepatitis C
1032,20,Hepatitis C
1033,20,Hepatitis C
1034,20,Hepatitis C
1035,20,Hepatitis C
1036,20,Hepatitis C
1037,20,Hepatitis C
1038,20,Hepatitis C
1039,20,Hepatitis C
1040,21,Hepatitis D
1041,21,Hepatitis D
1042,21,Hepatitis D
1043,21,Hepatitis D
1044,21,Hepatitis D
1045,21,Hepatitis D
1046,21,Hepatitis D
1047,21,Hepatitis D
1048,21,Hepatitis D
1049,21,Hepatitis D
1050,22,Hepatitis E
1051,22,Hepatitis E
1052,22,Hepatitis E
1053,22,Hepatitis E
1054,22,Hepatitis E
1055,22,Hepatitis E
1056,22,Hepatitis E
1057,22,Hepatitis E
1058,22,Hepatitis E
1059,22,Hepatitis E
1060,3,Alcoholic hepatitis
1061,3,Alcoholic hepatitis
1062,3,Alcoholic hepatitis
1063,3,Alcoholic hepatitis
1064,3,Alcoholic hepatitis
1065,3,Alcoholic hepatitis
1066,3,Alcoholic hepatitis
1067,3,Alcoholic hepatitis
1068,3,Alcoholic hepatitis
1069,3,Alcoholic hepatitis
1070,36,Tuberculosis
1071,36,Tuberculosis
1072,36,Tuberculosis
1073,36,Tuberculosis
1074,36,Tuberculosis
1075,36,Tuberculosis
1076,36,Tuberculosis
1077,36,Tuberculosis
1078,36,Tuberculosis
1079,36,Tuberculosis
1080,10,Common Cold
1081,10,Common Cold
1082,10,Common Cold
1083,10,Common Cold
1084,10,Common Cold
1085,10,Common Cold
1086,10,Common Cold
1087,10,Common Cold
1088,10,Common Cold
1089,10,Common Cold
1090,34,Pneumonia
1091,34,Pneumonia
1092,34,Pneumonia
1093,34,Pneumonia
1094,34,Pneumonia
1095,34,Pneumonia
1096,34,Pneumonia
1097,34,Pneumonia
1098,34,Pneumonia
1099,34,Pneumonia
1100,13,Dimorphic hemmorhoids(piles)
1101,13,Dimorphic hemmorhoids(piles)
1102,13,Dimorphic hemmorhoids(piles)
1103,13,Dimorphic hemmorhoids(piles)
1104,13,Dimorphic hemmorhoids(piles)
1105,13,Dimorphic hemmorhoids(piles)
1106,13,Dimorphic hemmorhoids(piles)
1107,13,Dimorphic hemmorhoids(piles)
1108,13,Dimorphic hemmorhoids(piles)
1109,13,Dimorphic hemmorhoids(piles)
1110,18,Heart attack
1111,18,Heart attack
1112,18,Heart attack
1113,18,Heart attack
1114,18,Heart attack
1115,18,Heart attack
1116,18,Heart attack
1117,18,Heart attack
1118,18,Heart attack
1119,18,Heart attack
1120,39,Varicose veins
1121,39,Varicose veins
1122,39,Varicose veins
1123,39,Varicose veins
1124,39,Varicose veins
1125,39,Varicose veins
1126,39,Varicose veins
1127,39,Varicose veins
1128,39,Varicose veins
1129,39,Varicose veins
1130,26,Hypothyroidism
1131,26,Hypothyroidism
1132,26,Hypothyroidism
1133,26,Hypothyroidism
1134,26,Hypothyroidism
1135,26,Hypothyroidism
